frame,frame_total,update,physics,collision,enemy_manager,ai,render,render_tiles,render_particles,render_hazards,render_pickups,render_portals,render_enemies,render_npcs,render_player,render_companions,render_projectiles,render_hud,present,fps_instantaneous
93,11.905,3.5631,0.0042,0.3056,0.0084,0.0,8.0509,5.5482,0.003,0.0024,0.5052,0.0892,0.0031,0.0333,0.0351,0.0612,0.0009,1.6045,0.0006,84.0
94,12.1554,3.8404,0.005,0.2994,0.0073,0.0,8.0348,5.5097,0.003,0.0029,0.8453,0.1208,0.0043,0.0464,0.0408,0.0622,0.001,1.2413,0.0005,82.27
95,11.5654,3.4204,0.0035,0.296,0.0072,0.0,7.8638,5.7173,0.0027,0.0029,0.5072,0.1824,0.0047,0.0432,0.0374,0.0721,0.0012,1.1286,0.0004,86.46
96,12.3348,3.5052,0.0041,0.3984,0.01,0.0,8.4782,6.3789,0.0024,0.0028,0.5137,0.1007,0.0032,0.0349,0.0349,0.0656,0.0008,1.1095,0.0005,81.07
97,11.5841,3.3534,0.0043,0.3041,0.0083,0.0,7.9244,5.6232,0.0032,0.003,0.5168,0.0915,0.0035,0.0355,0.0359,0.0599,0.0012,1.3785,0.0008,86.33
98,12.5939,3.655,0.0053,0.3466,0.0078,0.0,8.6332,6.0465,0.0025,0.0027,0.8279,0.1204,0.0042,0.0493,0.047,0.0914,0.0013,1.2421,0.0005,79.4
99,11.7362,4.0611,0.0042,0.351,0.0072,0.0,7.4054,5.4004,0.0025,0.0027,0.5462,0.0865,0.0032,0.0592,0.0349,0.062,0.0013,1.054,0.0004,85.21
100,11.1718,3.4974,0.0036,0.2961,0.0139,0.0,7.2442,5.248,0.003,0.0031,0.5743,0.0872,0.0032,0.0326,0.0328,0.0574,0.0009,1.0353,0.0004,89.51
101,11.0787,3.3406,0.0045,0.2987,0.0079,0.0,7.4593,5.3284,0.0027,0.0025,0.514,0.0842,0.0035,0.0326,0.0333,0.0639,0.001,1.2365,0.0007,90.26
102,11.2853,3.5973,0.0043,0.3273,0.0071,0.0,7.4088,5.4252,0.0026,0.0025,0.5406,0.0898,0.0038,0.0354,0.0416,0.0629,0.0009,1.0543,0.0005,88.61
103,11.3724,3.773,0.0039,0.5072,0.0075,0.0,7.2303,5.2052,0.0022,0.0026,0.496,0.0876,0.0029,0.0328,0.0328,0.0568,0.0009,1.0908,0.0005,87.93
104,10.7965,3.3962,0.0042,0.3032,0.0073,0.0,7.1348,5.2206,0.0023,0.0027,0.4995,0.0844,0.0033,0.0323,0.032,0.0635,0.0007,1.0447,0.0004,92.62
